;;aBS;;;;;;;aZS;;;;;;DS;;;
water;Elodea canadensis;Sporadic;Absent;Present;Absent;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Absent;Absent;Sporadic;Sporadic;Sporadic;Sporadic
water;Elodea densa;Absent;Absent;Absent;Present;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Present;Sporadic;Sporadic;Present
water;Elodea nuttallii;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present
oever;Fallopia baldschuanica;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
oever;Fraxinus pennsylvanica;Sporadic;Present;Sporadic;Absent;Absent;Present;Absent;Sporadic;Sporadic;Present;Absent;Sporadic;Absent;Absent;Absent;Present;Absent
water;Gymnocoronis spilanthoides;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
oever;Helianthus laetiflorus;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Present;Absent;Sporadic;Sporadic;Absent;Absent;Absent;Absent;Sporadic;Sporadic;Sporadic;Present
oever;Helianthus tuberosus;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present;Sporadic
oever;Heracleum mantegazzianum;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Sporadic;Present;Present;Present;Sporadic;Present
water;Hydrilla verticillata;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
water;Hydrocharis laevigata;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
water;Hydrocotyle ranunculoides;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic
oever;Impatiens capensis;Present;Absent;Present;Absent;Sporadic;Absent;Absent;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Present;Absent;Sporadic;Absent
oever;Impatiens glandulifera;Present;Present;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
oever;Koenigia polystachya;Sporadic;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Present;Absent;Present;Absent;Sporadic;Sporadic;Present
oever;Laburnum anagyroides;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Present
water;Lagarosiphon major;Sporadic;Present;Absent;Sporadic;Absent;Absent;Sporadic;Absent;Sporadic;Absent;Present;Absent;Absent;Absent;Absent;Absent;Absent
water;Lemna minuta;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Present
water;Lemna turionifera;Sporadic;Absent;Absent;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Absent;Absent;Absent;Absent;Sporadic;Sporadic;Absent;Absent
water;Ludwigia grandiflora;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Present
water;Ludwigia peploides;Present;Present;Sporadic;Absent;Sporadic;Absent;Absent;Present;Present;Present;Absent;Absent;Absent;Absent;Absent;Absent;Absent
oever;Mahonia aquifolium;Present;Present;Present;Present;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Present;Sporadic;Present;Sporadic;Present;Sporadic;Sporadic
water;Myriophyllum aquaticum;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
water;Myriophyllum heterophyllum;Present;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Sporadic;Sporadic;Present
water;Myriophyllum rubricaule;Present;Absent;Present;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Present;Absent;Absent;Present;Absent;Absent
oever;Parthenocissus inserta;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
oever;Parthenocissus quinquefolia;Present;Sporadic;Present;Sporadic;Present;Absent;Present;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
oever;Parthenocissus tricuspidata;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Present;Sporadic;Present;Sporadic;Present;Present;Sporadic;Sporadic
water;Pistia stratiotes;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Sporadic;Present;Absent;Absent;Absent;Absent;Present;Present;Sporadic;Sporadic
water;Pontederia crassipes;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Absent;Absent;Absent;Absent;Sporadic;Sporadic;Sporadic
oever;Prunus laurocerasus;Present;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic
oever;Prunus serotina;Present;Present;Present;Present;Present;Sporadic;Sporadic;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
oever;Reynoutria bohemica;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Absent;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Present
oever;Reynoutria japonica;Present;Present;Present;Present;Sporadic;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present
oever;Reynoutria sachalinensis;Sporadic;Sporadic;Absent;Absent;Sporadic;Sporadic;Absent;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
oever;Rhus typhina;Present;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic
oever;Robinia pseudoacacia;Present;Present;Sporadic;Present;Present;Sporadic;Sporadic;Present;Present;Present;Present;Present;Present;Present;Present;Sporadic;Present
oever;Rosa rugosa;Present;Present;Sporadic;Sporadic;Present;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Present
oever;Rubus armeniacus;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Present;Sporadic;Present;Present;Present;Sporadic;Sporadic;Sporadic
oever;Rudbeckia laciniata;Absent;Sporadic;Absent;Absent;Sporadic;Sporadic;Absent;Present;Sporadic;Present;Absent;Absent;Sporadic;Present;Sporadic;Absent;Absent
water;Salvinia molesta;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent
oever;Solidago canadensis;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Sporadic;Sporadic;Sporadic;Present;Sporadic;Present;Present;Present;Sporadic;Present
oever;Solidago gigantea;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Present;Sporadic
oever;Spiraea alba;Present;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Sporadic;Absent;Absent;Sporadic;Absent;Absent;Sporadic;Absent
oever;Spiraea billardii;Sporadic;Sporadic;Absent;Absent;Present;Absent;Absent;Sporadic;Absent;Absent;Sporadic;Absent;Absent;Sporadic;Absent;Absent;Absent
oever;Spiraea douglasii;Sporadic;Present;Sporadic;Sporadic;Sporadic;Absent;Absent;Present;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic;Sporadic
oever;Spiraea salicifolia;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Present;Absent;Absent;Absent;Absent;Absent;Absent;Present;Present;Absent
oever;Spiraea tomentosa;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Absent;Present;Absent
